Date,Ticker,Action,Price,Shares,Transaction Value,Portfolio Value,Profit/Loss
2020-04-29,WMT,buy,38.477882385253906,581.0,22355.64966583252,22406.573228120804,0.0
2020-05-01,NVDA,buy,7.04468297958374,1.0,7.04468297958374,22283.37245297432,0.0
2020-05-04,GME,buy,1.3700000047683716,3.0,4.110000014305115,22424.912786722183,0.0
2020-05-05,GME,sell,1.347499966621399,3.0,4.042499899864197,22611.51469063759,-0.06750011444091797
2020-05-06,GME,buy,1.2324999570846558,4.0,4.929999828338623,22352.52807545662,0.0
2020-05-07,WMT,sell,38.11246871948242,582.0,22181.45679473877,22194.325286626816,-214.13391876220516
2020-05-07,GME,buy,1.2174999713897705,18219.0,22181.63197875023,22194.325286626816,0.0
2020-05-07,NVDA,sell,7.594995021820068,1.0,7.594995021820068,22194.325286626816,0.5503120422363281
2020-05-08,GME,buy,1.2450000047683716,6.0,7.4700000286102295,22695.458394885063,0.0
2020-05-12,GME,sell,1.1349999904632568,18229.0,20689.91482615471,20690.268134117126,-1504.1171524524677
2020-05-13,BTC-USD,buy,9269.9873046875,2.0,18539.974609375,20690.268134117126,0.0
2020-05-14,SOXL,buy,8.453173637390137,254.0,2147.1061038970947,21617.736884117126,0.0
2020-05-14,GME,buy,1.0325000286102295,3.0,3.0975000858306885,21617.736884117126,0.0
2020-05-15,BTC-USD,sell,9328.197265625,2.0,18656.39453125,20672.240510582924,116.419921875
2020-05-15,ORCL,buy,49.44179153442383,377.0,18639.555408477783,20672.240510582924,0.0
2020-05-15,SOXL,buy,7.923586845397949,2.0,15.847173690795898,20672.240510582924,0.0
2020-05-15,GME,buy,1.0549999475479126,1.0,1.0549999475479126,20672.240510582924,0.0
2020-05-20,GME,sell,1.1074999570846558,4.0,4.429999828338623,21181.32492697239,0.277499794960022
2020-05-20,ORCL,sell,49.42311096191406,377.0,18632.5128326416,21181.32492697239,-7.042575836181641
2020-05-20,SOXL,sell,9.938887596130371,256.0,2544.355224609375,21181.32492697239,381.4019470214844
2020-05-21,BTC-USD,buy,9081.76171875,2.0,18163.5234375,21181.32492697239,0.0
2020-05-26,NVDA,buy,8.687146186828613,347.0,3014.439726829529,20687.90695822239,0.0
2020-05-26,GME,buy,1.1050000190734863,3.0,3.315000057220459,20687.90695822239,0.0
2020-05-27,BTC-USD,sell,9181.017578125,2.0,18362.03515625,21313.47656273842,198.51171875
2020-05-27,WMT,buy,38.29694366455078,479.0,18344.236015319824,21313.47656273842,0.0
2020-05-28,GME,buy,1.0824999809265137,16.0,17.31999969482422,21481.20764219761,0.0
2020-06-05,GME,sell,1.034999966621399,19.0,19.66499936580658,21312.41993379593,-0.970000386238097
2020-06-09,NVDA,sell,9.018356323242188,347.0,3129.369644165039,21324.555767536163,114.92991733551025
2020-06-11,GME,buy,1.0924999713897705,1.0,1.0924999713897705,21135.840248584747,0.0
2020-06-11,SOXL,buy,10.287812232971191,306.0,3148.0705432891846,21135.840248584747,0.0
2020-06-16,GME,sell,1.159999966621399,1.0,1.159999966621399,21525.832629561424,0.06749999523162842
2020-06-18,SOXL,sell,12.047452926635742,306.0,3686.520595550537,21359.8331540823,538.4500522613525
2020-06-18,GME,buy,1.2374999523162842,2980.0,3687.749857902527,21359.8331540823,0.0
2020-06-19,WMT,sell,37.4745979309082,479.0,17950.33240890503,21586.260735869408,-393.9036064147949
2020-06-19,GME,sell,1.2200000286102295,2980.0,3635.600085258484,21586.260735869408,-52.14977264404297
2020-06-24,SOXL,buy,11.40493392944336,1892.0,21578.134994506836,21586.260735869408,0.0
2020-06-25,GME,buy,1.1150000095367432,7.0,7.805000066757202,22117.135320067406,0.0
2020-07-02,GME,buy,1.0724999904632568,21532.0,23093.069794654846,23100.799577593803,0.0
2020-07-02,SOXL,sell,12.205587387084961,1892.0,23092.971336364746,23100.799577593803,1514.8363418579102
2020-07-06,GME,sell,1.059999942779541,21539.0,22831.338767528534,22831.56105053425,-269.53602719306815
2020-07-08,GME,buy,1.065000057220459,21438.0,22831.4712266922,22831.56105053425,0.0
2020-07-24,GME,sell,1.0075000524520874,21438.0,21598.78612446785,21598.8759483099,-1232.68510222435
2020-07-24,TSLA,buy,94.46666717529297,228.0,21538.400115966797,21598.8759483099,0.0
2020-07-24,SOXL,buy,12.95077896118164,4.0,51.80311584472656,21598.8759483099,0.0
2020-07-29,SOXL,sell,14.202984809875488,4.0,56.81193923950195,22851.956549048424,5.008823394775391
2020-07-30,GME,buy,1.024999976158142,63.0,64.57499849796295,22675.33273923397,0.0
2020-07-31,GME,sell,1.002500057220459,63.0,63.157503604888916,21811.61977314949,-1.4174948930740356
2020-08-03,TSLA,sell,99.0,228.0,22572.0,22636.067160844803,1033.5998840332031
2020-08-04,GME,buy,1.1074999570846558,20438.0,22635.084122896194,22636.067160844803,0.0
2020-08-07,GME,sell,1.0399999618530273,20438.0,21255.519220352173,21256.50225830078,-1379.5649025440216
2020-08-10,GME,buy,1.0824999809265137,19636.0,21255.969625473022,21256.50225830078,0.0
2020-08-17,GME,sell,1.1575000286102295,19636.0,22728.670561790466,22729.203194618225,1472.7009363174438
2020-08-20,SOXL,buy,15.699239730834961,1447.0,22716.79989051819,22729.203194618225,0.0
2020-08-24,GME,buy,1.2174999713897705,10.0,12.174999713897705,23871.699734687805,0.0
2020-08-25,GME,sell,1.2450000047683716,10.0,12.450000047683716,24640.55824828148,0.27500033378601074
2020-08-25,SOXL,sell,17.01995849609375,1447.0,24627.879943847656,24640.55824828148,1911.0800533294678
2020-08-27,BTC-USD,buy,11323.3974609375,2.0,22646.794921875,24640.55824828148,0.0
2020-08-30,BTC-USD,sell,11711.505859375,2.0,23423.01171875,25416.77504515648,776.216796875
2020-09-02,TSLA,buy,149.1233367919922,170.0,25350.967254638672,25416.77504515648,0.0
2020-09-03,NVDA,buy,12.97961139678955,5.0,64.89805698394775,23129.141988515854,0.0
2020-09-14,WMT,buy,43.11362838745117,553.0,23841.836498260498,23843.56077170372,0.0
2020-09-14,NVDA,sell,12.836756706237793,5.0,64.18378353118896,23843.56077170372,-0.7142734527587891
2020-09-14,TSLA,sell,139.8733367919922,170.0,23778.467254638672,23843.56077170372,-1572.5
2020-09-24,WMT,sell,42.91896438598633,553.0,23734.18730545044,23735.91157889366,-107.6491928100586
2020-09-25,ORCL,buy,56.10578918457031,423.0,23732.748825073242,23735.91157889366,0.0
2020-10-06,GME,buy,2.2825000286102295,1.0,2.2825000286102295,23620.821964025497,0.0
2020-10-07,ORCL,sell,57.077178955078125,423.0,24143.646697998047,24146.866951704025,410.8978729248047
2020-10-07,GME,sell,2.3399999141693115,1.0,2.3399999141693115,24146.866951704025,0.05749988555908203
2020-10-15,NVDA,buy,13.931479454040527,1733.0,24143.253893852234,24146.866951704025,0.0
2020-10-16,GME,buy,3.327500104904175,1.0,3.327500104904175,23872.940580129623,0.0
2020-10-19,GME,sell,3.4774999618530273,1.0,3.4774999618530273,23330.860382080078,0.14999985694885254
2020-10-20,GME,buy,3.4649999141693115,1.0,3.4649999141693115,23586.210207939148,0.0
2020-10-21,GME,sell,3.5250000953674316,1.0,3.5250000953674316,23377.58321070671,0.06000018119812012
2020-10-22,GME,buy,3.7274999618530273,1.0,3.7274999618530273,23094.590030431747,0.0
2020-11-03,NVDA,sell,12.983597755432129,1733.0,22500.57491016388,22503.56296801567,-1642.6789836883545
2020-11-04,GME,buy,2.7274999618530273,8249.0,22499.147185325623,22503.397968053818,0.0
2020-11-06,GME,sell,2.9649999141693115,8250.0,24461.24929189682,24462.772574663162,1958.374606609344
2020-11-10,NVDA,buy,12.734787940979004,1920.0,24450.792846679688,24462.772574663162,0.0
2020-11-12,GME,buy,2.7825000286102295,4.0,11.130000114440918,25777.69139790535,0.0
2020-11-18,NVDA,sell,13.391719818115234,1920.0,25712.10205078125,25724.521778345108,1261.3092041015625
2020-11-18,GME,sell,2.8924999237060547,4.0,11.569999694824219,25724.521778345108,0.4399995803833008
2020-11-20,NVDA,buy,13.051661491394043,1970.0,25711.773138046265,25724.521778345108,0.0
2020-11-24,GME,buy,3.4175000190734863,3.0,10.252500057220459,25469.12983727455,0.0
2020-11-25,GME,sell,3.6875,3.0,11.0625,26014.125809431076,0.809999942779541
2020-11-30,NVDA,sell,13.364544868469238,1970.0,26328.1533908844,26341.712031126022,616.3802528381348
2020-12-02,TSLA,buy,189.60667419433594,138.0,26165.72103881836,26341.712031126022,0.0
2020-12-03,TSLA,sell,197.7933349609375,138.0,27295.480224609375,27471.471216917038,1129.7591857910156
2020-12-04,WMT,buy,46.75247573852539,587.0,27443.703258514404,27471.471216917038,0.0
2020-12-09,NVDA,buy,12.898902893066406,2.0,25.797805786132812,27353.522158384323,0.0
2020-12-15,NVDA,sell,13.327596664428711,2.0,26.655193328857422,26956.690539121628,0.8573875427246094
2020-12-16,GME,buy,3.4625000953674316,8.0,27.700000762939453,26928.946512937546,0.0
2020-12-17,GME,sell,3.7074999809265137,8.0,29.65999984741211,27054.83654665947,1.9599990844726562
2020-12-21,SOXL,buy,28.919511795043945,1.0,28.919511795043945,27030.7917239666,0.0
2020-12-30,SOXL,sell,30.122333526611328,1.0,30.122333526611328,26700.897919416428,1.2028217315673828
