ticker,business_date,price,price_return,ma7,ma21,lagged_return
NVDA,2022-06-14,15.81683349609375,0.012079054335667916,17.529761178152903,17.645025344122026,-0.07817838186968251
SOXL,2020-09-17,15.483901977539062,-0.004572539783720075,15.1563321522304,16.25177560533796,-0.030108354898864098
SPY,2023-10-02,421.6087646484375,-0.0003977346274336435,422.5559735979353,432.80455525716144,-0.002426955139224085
QQQ,2020-11-02,263.2723693847656,0.0022275314005368863,269.59693690708707,275.5472194126674,-0.02536307984784414
ORCL,2021-11-22,90.4980926513672,0.0068105772706714696,90.42567443847656,91.07111322312127,-0.00728907584861993
BTC-USD,2019-03-24,4022.168212890625,-0.0033842394882989124,4043.2090890066966,3965.343040829613,0.002946880672416219
ORCL,2019-07-19,53.03034973144531,-0.009979407075317526,54.095093318394255,53.44598388671875,0.00224177798232561
ORCL,2017-07-19,45.50680923461914,0.010901479336974385,44.91711098807199,44.302225203741166,0.00019858710739950602
SOXL,2019-04-25,12.30535125732422,-0.05443380990648161,12.355114800589424,10.777301879156203,0.028980434289519907
SOXL,2017-05-12,5.499260425567627,0.009065307945209655,5.178453649793353,4.929538704100109,0.010108351873943544
NVDA,2019-07-26,4.351256847381592,0.009747087608597438,4.30588047845023,4.147226572036743,-0.029553265269042117
BTC-USD,2024-10-13,62851.375,-0.005406426515387475,61959.24553571428,62834.25446428572,0.011977460447594401
SPY,2020-12-30,352.5040283203125,0.0014268629977438607,350.2513994489397,348.4211207798549,-0.0019076809121147953
TQQQ,2020-08-04,30.351776123046875,0.013001667660693439,28.10809326171875,27.68823105948312,0.037275975296863884
TQQQ,2017-10-27,10.276667594909668,0.08617629072468014,9.729235512869698,9.62310672941662,-0.009271045822262458
ORCL,2024-03-27,124.23612213134766,-0.009488459334157429,126.52564457484654,119.97680845714751,0.003093262196926183
NVDA,2024-02-07,70.08395385742188,0.02749790916474315,65.86329432896206,60.61551557268415,-0.01599553576096513
BTC-USD,2017-12-16,19497.400390625,0.10111877067699493,17140.5859375,13819.05287388393,0.06899905763251635
BTC-USD,2024-02-23,50731.94921875,-0.011168964874795462,51675.09486607143,48643.006510416664,-0.010305082651198116
